ROWHEADER,Test,ODI,T20,IPL,name,country
Average,42.11,33.5,23.25,34.21,Rishabh Pant,India
SR,73.61,106.22,127.4,147.01,Rishabh Pant,India
Not Out,5,1,14,17,Rishabh Pant,India
Fours,321,91,111,304,Rishabh Pant,India
Sixes,73,26,44,159,Rishabh Pant,India
Ducks,3,3,4,5,Rishabh Pant,India
50s,15,5,3,19,Rishabh Pant,India
100s,6,1,0,1,Rishabh Pant,India
200s,0,0,0,0,Rishabh Pant,India
300s,0,0,0,0,Rishabh Pant,India
400s,0,0,0,0,Rishabh Pant,India
Matches,64,108,25,117,Mohammed Shami,India
Innings,89,49,5,29,Mohammed Shami,India
Runs,750,225,7,84,Mohammed Shami,India
Balls,1005,273,10,89,Mohammed Shami,India
Highest,56,25,7,21,Mohammed Shami,India
Average,11.9,7.76,3.5,6,Mohammed Shami,India
SR,74.63,82.42,70,94.39,Mohammed Shami,India
Not Out,26,20,3,15,Mohammed Shami,India
Fours,83,17,0,7,Mohammed Shami,India
Sixes,25,9,1,2,Mohammed Shami,India
Ducks,18,6,1,4,Mohammed Shami,India
50s,2,0,0,0,Mohammed Shami,India
100s,0,0,0,0,Mohammed Shami,India
200s,0,0,0,0,Mohammed Shami,India
300s,0,0,0,0,Mohammed Shami,India
400s,0,0,0,0,Mohammed Shami,India
Matches,45,89,70,136,Jasprit Bumrah,India
Innings,69,26,8,31,Jasprit Bumrah,India
Runs,332,91,8,68,Jasprit Bumrah,India
Balls,741,159,14,79,Jasprit Bumrah,India
Highest,34,16,7,16,Jasprit Bumrah,India
Average,7.06,7.58,2.67,9.71,Jasprit Bumrah,India
SR,44.81,57.24,57.15,86.08,Jasprit Bumrah,India
Not Out,22,14,5,24,Jasprit Bumrah,India
Fours,35,10,1,5,Jasprit Bumrah,India
Sixes,11,1,0,1,Jasprit Bumrah,India
Ducks,25,5,2,5,Jasprit Bumrah,India
50s,0,0,0,0,Jasprit Bumrah,India
100s,0,0,0,0,Jasprit Bumrah,India
200s,0,0,0,0,Jasprit Bumrah,India
300s,0,0,0,0,Jasprit Bumrah,India
400s,0,0,0,0,Jasprit Bumrah,India
Matches,13,113,40,90,Kuldeep Yadav,India
Innings,17,42,7,35,Kuldeep Yadav,India
Runs,199,207,46,189,Kuldeep Yadav,India
Balls,698,407,59,222,Kuldeep Yadav,India
Highest,40,19,23,35,Kuldeep Yadav,India
Average,13.27,9.86,11.5,13.5,Kuldeep Yadav,India
SR,28.52,50.86,77.97,85.14,Kuldeep Yadav,India
Not Out,2,21,3,21,Kuldeep Yadav,India
Fours,18,14,2,17,Kuldeep Yadav,India
Sixes,1,0,0,3,Kuldeep Yadav,India
Ducks,4,3,2,5,Kuldeep Yadav,India
50s,0,0,0,0,Kuldeep Yadav,India
100s,0,0,0,0,Kuldeep Yadav,India
200s,0,0,0,0,Kuldeep Yadav,India
300s,0,0,0,0,Kuldeep Yadav,India
400s,0,0,0,0,Kuldeep Yadav,India
Matches,0,72,80,166,Yuzvendra Chahal,India
Innings,0,14,6,20,Yuzvendra Chahal,India
Runs,0,77,6,37,Yuzvendra Chahal,India
Balls,0,141,13,86,Yuzvendra Chahal,India
Highest,0,18,3,8,Yuzvendra Chahal,India
Average,0,8.56,3,5.29,Yuzvendra Chahal,India
SR,0,54.61,46.16,43.03,Yuzvendra Chahal,India
Not Out,0,5,4,13,Yuzvendra Chahal,India
Fours,0,8,0,0,Yuzvendra Chahal,India
Sixes,0,0,0,0,Yuzvendra Chahal,India
Ducks,0,1,0,1,Yuzvendra Chahal,India
50s,0,0,0,0,Yuzvendra Chahal,India
100s,0,0,0,0,Yuzvendra Chahal,India
